Title,Critic_Score,Audience_Score
Jeff Ross: Take a Banana for the Ride,N/A,N/A
BTS: THE RETURN,N/A,N/A
Peaky Blinders: The Immortal Man,91%,89%
War Machine,69%,66%
Dhurandhar,35%,96%
Train Dreams,94%,92%
The Perfect Neighbor,99%,81%
Nobody 2,76%,88%
Frankenstein,85%,94%
Blue Moon,90%,76%
Louis Theroux: Inside The Manosphere,77%,74%
BlackBerry,97%,94%
The Rip,79%,65%
Jurassic World Rebirth,50%,70%
People We Meet on Vacation,76%,69%
KPop Demon Hunters,91%,99%
Wake Up Dead Man: A Knives Out Mystery,92%,93%
Honey Don't!,45%,39%
A HOUSE OF DYNAMITE,75%,78%
Cover-Up,98%,81%
Relay,82%,89%
28 Years Later,88%,63%
All the Empty Rooms,92%,88%
Hit Man,95%,89%
Bring Her Back,89%,79%
Caught Stealing,85%,83%
Materialists,77%,66%
His House,100%,72%
